;EAN;Referencia;;Nombre;Coste;Precio;;P.V.P.;Beneficio;%MC;%MV;Stock;;Proveedor;Clasificación;
Actualizado desde fichero o API;3600523709854;;;ACON ELVIVE RAPID REVIVER 180ML ACEITE;1,952 €;3,30 €;21 %;3,99 €;1,35 €;69,1 %;40,9 %;0;809;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600523732814;;;ACON ELVIVE RAPID REVIVER 180ML COLOR VIVE;1,794 €;3,30 €;21 %;3,99 €;1,51 €;84,0 %;45,6 %;-13;344;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600523709847;;;ACON ELVIVE RAPID REVIVER 180ML TR5;3,080 €;4,12 €;21 %;4,99 €;1,04 €;33,8 %;25,2 %;-4;110;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600524075606;1160794;;ACON ELVIVE SERUM BOND REPAIR 150ML;5,152 €;8,22 €;21 %;9,95 €;3,07 €;59,5 %;37,3 %;0;59;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600523817481;1133106;;ACON ELVIVE SERUM DREAM LONG 100ML  ANTIFRIZZ;2,794 €;4,12 €;21 %;4,99 €;1,33 €;47,5 %;32,2 %;-1;113;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;8001090388377;1104263;;ACON ESP PANTENE  180ML CLASIC;2,239 €;2,47 €;21 %;2,99 €;0,23 €;10,3 %;9,3 %;-1;208;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;8411126044588;1107846;;ACON FLEX 400ML 2FASES NUTRITIVO;3,412 €;4,12 €;21 %;4,99 €;0,71 €;20,8 %;17,2 %;-4;3;BEAUTYGE;ASEO PERSONAL;
Actualizado desde fichero o API;8411126044601;1107847;;ACON FLEX 400ML 2FASES PRINCESS;3,394 €;4,12 €;21 %;4,99 €;0,73 €;21,4 %;17,6 %;-6;18;BEAUTYGE;ASEO PERSONAL;
Actualizado desde fichero o API;8411126026072;1032759;;ACON FLEX NORMAL 650ML;1,630 €;2,47 €;21 %;2,99 €;0,84 €;51,5 %;34,0 %;-4;11;BEAUTYGE;ASEO PERSONAL;
Actualizado desde fichero o API;8411126026089;1032760;;ACON FLEX SECOS 650ML;1,805 €;2,47 €;21 %;2,99 €;0,67 €;36,8 %;26,9 %;-11;6;BEAUTYGE;ASEO PERSONAL;
Actualizado desde fichero o API;3600542027786;1102596;;ACON FRUCTIS 250ML ADIOS DAÑOS;1,518 €;2,44 €;21 %;2,95 €;0,92 €;60,7 %;37,8 %;0;528;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600542408240;1141969;;ACON FRUCTIS 300ML ALOE;2,162 €;3,10 €;21 %;3,75 €;0,94 €;43,4 %;30,3 %;0;178;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600542256506;1128271;;ACON FRUCTIS 300ML DAÑADO;2,557 €;3,10 €;21 %;3,75 €;0,54 €;21,2 %;17,5 %;1;22;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600542256490;1128269;;ACON FRUCTIS 300ML LISO;2,249 €;3,10 €;21 %;3,75 €;0,85 €;37,8 %;27,4 %;7;21;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600542408257;1141970;;ACON FRUCTIS 300ML NORMAL;2,249 €;3,10 €;21 %;3,75 €;0,85 €;37,8 %;27,4 %;4;4;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600542256483;1128270;;ACON FRUCTIS 300ML RIZOS;2,249 €;3,10 €;21 %;3,75 €;0,85 €;37,8 %;27,4 %;11;17;LOREAL CONSUMO;ASEO PERSONAL;
Normal;3600542444774;1152498;;ACON FRUCTIS 300ML VITAMINAC Y BIOTINA;2,254 €;3,10 €;21 %;3,75 €;0,85 €;37,5 %;27,3 %;13;33;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600542404402;1143481;;ACON FRUCTIS CREMA SIN ACLARADO 400ML FUERZA Y BRILLO;3,154 €;4,95 €;21 %;5,99 €;1,80 €;56,9 %;36,3 %;15;0;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600542202060;1127748;;ACON FRUCTIS CREMA SIN ACLARADO 400ML LISO BRILLO;3,151 €;4,95 €;21 %;5,99 €;1,80 €;57,1 %;36,3 %;5;27;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600542202220;1127747;;ACON FRUCTIS CREMA SIN ACLARADO 400ML NUTRIRIZOS;3,154 €;4,95 €;21 %;5,99 €;1,80 €;56,9 %;36,3 %;-4;3;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600542502597;1160484;;ACON FRUCTIS HAIR DRINK 200ML BANANA;4,034 €;5,74 €;21 %;6,95 €;1,71 €;42,3 %;29,7 %;4;6;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600542502764;1160485;;ACON FRUCTIS HAIR DRINK 200ML PAPAYA;4,034 €;5,74 €;21 %;6,95 €;1,71 €;42,3 %;29,7 %;3;77;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600542502443;1160483;;ACON FRUCTIS HAIR DRINK 200ML PIÑA;4,034 €;5,74 €;21 %;6,95 €;1,71 €;42,3 %;29,7 %;1;13;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3574669909815;1107645;;ACON JOHNSONS  SPRAY 200ML GOTAS BRILLO;1,690 €;2,47 €;21 %;2,99 €;0,78 €;46,1 %;31,6 %;0;-1;JOHNSONS & JOHNSONS;ASEO PERSONAL;
Actualizado desde fichero o API;3574661432823;1130539;;ACON JOHNSONS  SPRAY 500ML GOTAS DE FUERZA;1,690 €;2,47 €;21 %;2,99 €;0,78 €;46,1 %;31,6 %;0;-1;JOHNSONS & JOHNSONS;ASEO PERSONAL;
Actualizado desde fichero o API;6223000659212;1130536;;ACON JOHNSONS 500ML;1,590 €;2,47 €;21 %;2,99 €;0,88 €;55,4 %;35,6 %;0;1.210;JOHNSONS & JOHNSONS;ASEO PERSONAL;
Normal;3574669909587;1130537;;ACON JOHNSONS BABY 500ML SIN TIRONES;2,232 €;2,47 €;21 %;2,99 €;0,24 €;10,7 %;9,6 %;0;186;JOHNSONS & JOHNSONS;ASEO PERSONAL;
Actualizado desde fichero o API;3574661213408;1096874;;ACON JOHNSONS BABY GOTAS DE BRILLO 500ML;1,560 €;2,47 €;21 %;2,99 €;0,91 €;58,3 %;36,8 %;-11;1;JOHNSONS & JOHNSONS;ASEO PERSONAL;
Actualizado desde fichero o API;3574669909860;1114016;;ACON JOHNSONS SPRAY 200ML SIN TIRONES;1,690 €;2,47 €;21 %;2,99 €;0,78 €;46,1 %;31,6 %;0;-1;JOHNSONS & JOHNSONS;ASEO PERSONAL;
Normal;3600524030797;1151593;;ACON MASC ELVIVE 300ML ACIDO HIALURONICO;2,940 €;3,26 €;21 %;3,95 €;0,32 €;10,9 %;9,8 %;-15;42;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600542512220;1160450;;ACON ORIGINAL REMEDIES 250ML CHARCOAL;1,821 €;2,47 €;21 %;2,99 €;0,65 €;35,6 %;26,3 %;12;-1;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600542202695;1123122;;ACON ORIGINAL REMEDIES 250ML LECHE ALMENDRAS ECOLOGICAMIN;1,960 €;2,97 €;21 %;3,59 €;1,01 €;51,5 %;34,0 %;0;630;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600541791909;1066443;;ACON ORIGINAL REMEDIES ACEITE CREMA  200ML AGUACATE;2,102 €;2,47 €;21 %;2,99 €;0,37 €;17,5 %;14,9 %;2;210;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600541791916;1066445;;ACON ORIGINAL REMEDIES ACEITE CREMA 200ML OLIVA MITICA;1,997 €;2,47 €;21 %;2,99 €;0,47 €;23,7 %;19,1 %;0;159;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;4084500289574;1100880;;ACON PANTENE BB7 230ML;1,800 €;2,47 €;21 %;2,99 €;0,67 €;37,2 %;27,1 %;-9;231;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;4084500289475;1072613;;ACON PANTENE CLASICO 230ML;1,967 €;2,47 €;21 %;2,99 €;0,50 €;25,6 %;20,4 %;-17;0;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;5410076528219;1029889;;ACON PANTENE HIDROCREMA RIZOS;1,757 €;2,47 €;21 %;2,99 €;0,71 €;40,6 %;28,9 %;-1;425;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;4084500289536;1062798;;ACON PANTENE LISO 230ML;1,967 €;2,47 €;21 %;2,99 €;0,50 €;25,6 %;20,4 %;-8;96;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;4084500284883;1062799;;ACON PANTENE REPARA PROT 230ML;1,792 €;2,47 €;21 %;2,99 €;0,68 €;37,8 %;27,4 %;-13;46;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;5013965903083;1020405;;ACON PANTENE RIZOS 230ML;1,792 €;2,47 €;21 %;2,99 €;0,68 €;37,8 %;27,4 %;-10;87;LOGISTA;ASEO PERSONAL;
Normal;8006540877067;;;ACON PANTENE TUBO 180ML REPARA;1,896 €;2,47 €;21 %;2,99 €;0,57 €;30,3 %;23,2 %;-8;4;DPH S. L .;;
Normal;8006540877791;;;ACON PANTENE TUBO 180ML RIZOS;1,898 €;2,47 €;21 %;2,99 €;0,57 €;30,1 %;23,2 %;-6;7;DPH S. L .;;
Normal;8006540439005;;;ACON PANTENE TUBO 200ML CLASICO;1,972 €;2,47 €;21 %;2,99 €;0,50 €;25,3 %;20,2 %;1;5;DPH S. L .;ASEO PERSONAL;
Normal;8006540439241;;;ACON PANTENE TUBO 200ML REPARA Y PROTEGE;1,898 €;2,47 €;21 %;2,99 €;0,57 €;30,1 %;23,2 %;9;77;BEMALU;ASEO PERSONAL;
Normal;8006540439098;;;ACON PANTENE TUBO 200ML RIZOS;1,898 €;2,47 €;21 %;2,99 €;0,57 €;30,1 %;23,2 %;2;80;DPH S. L .;ASEO PERSONAL;
Normal;8006540439333;;;ACON PANTENE TUBO 200ML SUAVE Y LISO;1,950 €;2,47 €;21 %;2,99 €;0,52 €;26,7 %;21,1 %;4;102;BEMALU;ASEO PERSONAL;
