;EAN;Referencia;;Nombre;Coste;Precio;;P.V.P.;Beneficio;%MC;%MV;Stock;;Proveedor;Clasificación;
Actualizado desde fichero o API;3600542222853;1123141;;DELIAL SENSITIVE ADVANCE GEL CREMA FACIAL SOLAR IP 50 TUBE  50ML;7,262 €;10,74 €;21 %;12,99 €;3,48 €;47,9 %;32,4 %;0;754;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600542198233;1123143;;DELIAL UV WATER IP 50 SPRAY TRANSPARENTE 150ML;8,401 €;12,39 €;21 %;14,99 €;3,99 €;47,5 %;32,2 %;0;752;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;8413300653517;1016751;;DEN SIGNAL 75ML BICARBONATO TRIPLO;2,192 €;3,30 €;21 %;3,99 €;1,11 €;50,5 %;33,6 %;8;453;UNILEVER (FABERGE PERFUMERIA);ASEO PERSONAL;
Actualizado desde fichero o API;8720182494337;1016750;;DEN SIGNAL 75ML PROTEC. ANTICARIES TRIPLO;2,591 €;3,30 €;21 %;3,99 €;0,71 €;27,4 %;21,5 %;10;8;UNILEVER (FABERGE PERFUMERIA);ASEO PERSONAL;
Actualizado desde fichero o API;8411135374508;1073998;;DENENES PROTECH GEL CHAMPU 600ML;2,266 €;3,30 €;21 %;3,99 €;1,03 €;45,6 %;31,3 %;0;46;MARCA PERSONAL CARE GENESSE;ASEO PERSONAL;
Normal;8410642192001;;;DENIVIT PASTA DENTAL INTENSIVO 50ML;0,821 €;1,86 €;21 %;2,25 €;1,04 €;126,5 %;55,9 %;6;14;BEMALU;;
Actualizado desde fichero o API;8413600362010;1006750;;DENT BINACA AMARILLA 75ML;0,917 €;1,36 €;21 %;1,65 €;0,44 €;48,3 %;32,6 %;-3;3;VERDIMILL;ASEO PERSONAL;
Actualizado desde fichero o API;5054563041180;;;DENT BINACA ORIGINAL AMARILLO 100ML;0,884 €;1,45 €;21 %;1,75 €;0,57 €;64,0 %;39,0 %;-12;235;DPH S. L .;ASEO PERSONAL;
Actualizado desde fichero o API;8431890064438;1006764;;DENT BINACA TRIP PROT 75ML;0,816 €;1,20 €;21 %;1,45 €;0,38 €;47,1 %;32,0 %;-11;75;VERDIMILL;ASEO PERSONAL;
Normal;7640170370058;1140451;;DENT BIOMED 100GMS SUPERWHITE;1,639 €;2,47 €;21 %;2,99 €;0,83 €;50,7 %;33,6 %;-11;385;SENSOGREEN HEALTHCARE, S.L;...;
Actualizado desde fichero o API;8717163913987;1016432;;DENT CLOSEUP ROJO;0,585 €;0,83 €;21 %;1,00 €;0,24 €;41,9 %;29,5 %;-483;0;SENSOGREEN HEALTHCARE, S.L;ASEO PERSONAL;
Actualizado desde fichero o API;8717163913970;1016433;;DENT CLOSEUP VERDE;0,585 €;0,83 €;21 %;1,00 €;0,24 €;41,9 %;29,5 %;-279;0;SENSOGREEN HEALTHCARE, S.L;ASEO PERSONAL;
Actualizado desde fichero o API;8718951099210;1036377;;DENT COLGATE  50ML INFANTIL SMILES 6AÑOS;0,681 €;1,86 €;21 %;2,25 €;1,18 €;173,1 %;63,4 %;0;994;COLGATE;ASEO PERSONAL;
Actualizado desde fichero o API;8410372153303;1062397;;DENT COLGATE  50ML PROTECCION CARIES;0,396 €;0,83 €;21 %;1,00 €;0,43 €;109,6 %;52,3 %;-10;1;COLGATE;ASEO PERSONAL;
Actualizado desde fichero o API;8714789968384;1058807;;DENT COLGATE 50ML MAXIMA PROTECCION CARIES NINOS +3 ANOS;0,557 €;1,94 €;21 %;2,35 €;1,38 €;248,3 %;71,3 %;0;693;COLGATE;ASEO PERSONAL;
Actualizado desde fichero o API;8718951114906;1101108;;DENT COLGATE 75ML BICARBONATO BLANQUEADOR PVP 1 EURO;0,700 €;0,83 €;21 %;1,00 €;0,13 €;18,6 %;15,7 %;-117;194;COLGATE;ASEO PERSONAL;
Actualizado desde fichero o API;7891024137895;1075170;;DENT COLGATE BLANQUEADOR 100ML;0,857 €;1,24 €;21 %;1,50 €;0,38 €;44,7 %;30,9 %;-171;7;COLGATE;ASEO PERSONAL;
Actualizado desde fichero o API;7891024149164;1075168;;DENT COLGATE CAVITY PROT 100ML;0,857 €;1,24 €;21 %;1,50 €;0,38 €;44,7 %;30,9 %;-499;0;COLGATE;ASEO PERSONAL;
Actualizado desde fichero o API;8410372152306;1012191;;DENT COLGATE CLASICO 75ML;0,754 €;1,24 €;21 %;1,50 €;0,49 €;64,5 %;39,2 %;-1;193;COLGATE;ASEO PERSONAL;
Normal;6920354824999;;;DENT COLGATE ENCIAS  FORTIFICANTE REVITALIZANTE 75ML;2,140 €;3,30 €;21 %;3,99 €;1,16 €;54,2 %;35,1 %;0;985;DPH S. L .;ASEO PERSONAL;
Actualizado desde fichero o API;8718951286641;;;DENT COLGATE ENCIAS DETOX 75ML;2,140 €;3,30 €;21 %;3,99 €;1,16 €;54,2 %;35,1 %;0;924;DPH S. L .;ASEO PERSONAL;
Actualizado desde fichero o API;8410372182303;1012193;;DENT COLGATE GEL 75ML;0,969 €;1,36 €;21 %;1,65 €;0,39 €;40,4 %;28,8 %;-65;3;COLGATE;ASEO PERSONAL;
Normal;2220000005456;;;DENT COLGATE GUM INVIGORATE 28ML;0,000 €;0,83 €;21 %;1,00 €;0,83 €;0,0 %;100,0 %;1;290;DPH S. L .;ASEO PERSONAL;
Actualizado desde fichero o API;8714789064406;1012196;;DENT COLGATE HERBAL 75ML;0,990 €;1,36 €;21 %;1,65 €;0,37 €;37,4 %;27,2 %;-2;452;COLGATE;ASEO PERSONAL;
Actualizado desde fichero o API;8718951479852;1012308;;DENT COLGATE HERBAL DUPLO 75ML;1,733 €;2,47 €;21 %;2,99 €;0,74 €;42,5 %;29,8 %;-33;1;COLGATE;ASEO PERSONAL;
Actualizado desde fichero o API;8718951560598;;;DENT COLGATE MAX CARIES PROT 75ML DUPLO;1,733 €;2,47 €;21 %;2,99 €;0,74 €;42,5 %;29,8 %;-70;0;;ASEO PERSONAL;
Actualizado desde fichero o API;8850006324424;1099004;;DENT COLGATE MAX CAVITY PROTECTION 100ML;0,600 €;1,24 €;21 %;1,50 €;0,64 €;106,7 %;51,6 %;0;925;COLGATE;ASEO PERSONAL;
Normal;8718951313316;;;DENT COLGATE MAX FRESCOR AZUL 75ML;1,002 €;1,64 €;21 %;1,99 €;0,64 €;63,7 %;38,9 %;0;148;CASH LEVANTE DISTRIBUCION;ASEO PERSONAL;
Normal;8718951315365;;;DENT COLGATE MAX WHITE 75ML CRISTALES BLANCOS MENTA;0,678 €;1,64 €;21 %;1,99 €;0,96 €;141,9 %;58,7 %;0;615;CODELVI;ASEO PERSONAL;
Actualizado desde fichero o API;8718951249950;;;DENT COLGATE MAX WHITE CARBON 75ML;2,195 €;3,10 €;21 %;3,75 €;0,91 €;41,2 %;29,2 %;4;3;DPH S. L .;ASEO PERSONAL;
Actualizado desde fichero o API;8714789574820;;;DENT COLGATE MAX WHITE ONE 75ML;1,250 €;2,47 €;21 %;2,99 €;1,22 €;97,6 %;49,4 %;-137;10;DPH S. L .;ASEO PERSONAL;
Actualizado desde fichero o API;6001067066613;;;DENT COLGATE MAXIMUN CAVITY PROTECTION 100ML;0,600 €;1,24 €;21 %;1,50 €;0,64 €;106,7 %;51,6 %;-59;161;COLGATE;ASEO PERSONAL;
Actualizado desde fichero o API;8718951478350;1012314;;DENT COLGATE PROTECCION CARIES DUPLO 75ML;1,733 €;2,47 €;21 %;2,99 €;0,74 €;42,5 %;29,8 %;-91;60;COLGATE;ASEO PERSONAL;
Actualizado desde fichero o API;8410372242304;1012194;;DENT COLGATE SARRO BLANQ 75ML;0,970 €;1,36 €;21 %;1,65 €;0,39 €;40,2 %;28,7 %;-54;5;COLGATE;ASEO PERSONAL;
Actualizado desde fichero o API;8714789559506;1018678;;DENT COLGATE SENSI PROALIVIO 75ML;0,960 €;1,64 €;21 %;1,99 €;0,68 €;70,8 %;41,5 %;-2;470;COLGATE;ASEO PERSONAL;
Normal;8714789562445;;;DENT COLGATE SENSITIVE PRO ALIVIO BLANQUEADOR 75 ML;0,960 €;1,64 €;21 %;1,99 €;0,68 €;70,8 %;41,5 %;-2;476;CASH LEVANTE DISTRIBUCION;ASEO PERSONAL;
Actualizado desde fichero o API;8718951465848;1062399;;DENT COLGATE TOTAL BLANQ 75ML;1,831 €;2,47 €;21 %;2,99 €;0,64 €;34,9 %;25,9 %;-12;25;COLGATE;ASEO PERSONAL;
Normal;8718951465664;;;DENT COLGATE TOTAL BLANQUEADOR DUPLO 75ML;2,574 €;3,71 €;21 %;4,49 €;1,14 €;44,1 %;30,6 %;-72;0;DPH S. L .;;
Normal;8718951465817;;;DENT COLGATE TOTAL ORIGI 75ML DUPLO;1,665 €;3,71 €;21 %;4,49 €;2,04 €;122,8 %;55,1 %;-265;3;DPH S. L .;ASEO PERSONAL;
Actualizado desde fichero o API;8718951224902;;;DENT COLGATE TOTAL ORIGINAL 100ML;1,630 €;2,47 €;21 %;2,99 €;0,84 €;51,5 %;34,0 %;-9;29;DPH S. L .;ASEO PERSONAL;
Actualizado desde fichero o API;8714789437682;1012221;;DENT COLGATE TOTAL ORIGINAL 75ML;1,783 €;2,47 €;21 %;2,99 €;0,69 €;38,5 %;27,8 %;28;27;COLGATE;ASEO PERSONAL;
Actualizado desde fichero o API;8714789841915;;;DENT COLGATE TOTAL PROENCIAS BLANQUE 75ML;1,071 €;2,47 €;21 %;2,99 €;1,40 €;130,6 %;56,6 %;-2;251;CASH LEVANTE DISTRIBUCION;ASEO PERSONAL;
Actualizado desde fichero o API;8718951224933;;;DENT COLGATE TOTAL WHITENING 100ML;1,632 €;2,47 €;21 %;2,99 €;0,84 €;51,4 %;33,9 %;-1;220;DPH S. L .;ASEO PERSONAL;
Actualizado desde fichero o API;8718951455405;;;DENT COLGATE TRIPLE ACCION (NUEVO FORMATO) 75ML DUPLO;0,000 €;2,47 €;21 %;2,99 €;2,47 €;0,0 %;100,0 %;-138;1;;ASEO PERSONAL;
Actualizado desde fichero o API;8718951478091;1012321;;DENT COLGATE TRIPLE ACCION 75ML DUPLO;1,733 €;2,47 €;21 %;2,99 €;0,74 €;42,5 %;29,8 %;18;91;COLGATE;ASEO PERSONAL;
Actualizado desde fichero o API;8410436265027;1000956;;DENT DENIVIT CLASICA 50ML;1,155 €;1,61 €;21 %;1,95 €;0,46 €;39,4 %;28,3 %;-15;49;JOHNSONS & JOHNSONS;ASEO PERSONAL;
Actualizado desde fichero o API;8410496010759;1004511;;DENT GEL KEMPHOR 75ML;1,430 €;1,64 €;21 %;1,99 €;0,21 €;14,7 %;12,8 %;0;-1;VERKOS (KEMPHOR);ASEO PERSONAL;
Actualizado desde fichero o API;8410496001078;1004499;;DENT KEMPHOR 75ML;1,153 €;1,64 €;21 %;1,99 €;0,49 €;42,2 %;29,7 %;2;15;VERKOS (KEMPHOR);ASEO PERSONAL;
Actualizado desde fichero o API;8410496013750;1004514;;DENT KEMPHOR 75ML BLANCO TOTAL;1,153 €;1,64 €;21 %;1,99 €;0,49 €;42,2 %;29,7 %;1;15;VERKOS (KEMPHOR);ASEO PERSONAL;
Actualizado desde fichero o API;8410496014757;1004515;;DENT KEMPHOR 75ML DIENTES SENSIBLES;1,153 €;1,64 €;21 %;1,99 €;0,49 €;42,2 %;29,7 %;0;125;VERKOS (KEMPHOR);ASEO PERSONAL;
Actualizado desde fichero o API;8410496002259;1032946;;DENT KEMPHOR 75ML DUPLO;2,047 €;3,30 €;21 %;3,99 €;1,25 €;61,2 %;38,0 %;-2;13;VERKOS (KEMPHOR);ASEO PERSONAL;
Actualizado desde fichero o API;8410496310750;;;DENT KEMPHOR CLASICA 75ML;1,762 €;2,47 €;21 %;2,99 €;0,71 €;40,2 %;28,7 %;-1;252;NAYPES;ASEO PERSONAL;
Actualizado desde fichero o API;8410496001108;1004499;;DENT KEMPHOR FAM 75+25ML;1,200 €;2,02 €;21 %;2,45 €;0,82 €;68,3 %;40,6 %;-33;136;VERKOS (KEMPHOR);ASEO PERSONAL;
Actualizado desde fichero o API;8410496011756;1104355;;DENT KEMPHOR GEL JUNIOR 75ML;1,052 €;1,64 €;21 %;1,99 €;0,59 €;55,9 %;35,9 %;0;-1;VERKOS (KEMPHOR);ASEO PERSONAL;
Actualizado desde fichero o API;8410496003300;1004508;;DENT KEMPHOR NECESER ADULTO;3,112 €;4,92 €;21 %;5,95 €;1,81 €;58,1 %;36,8 %;-2;357;VERKOS (KEMPHOR);ASEO PERSONAL;
Actualizado desde fichero o API;8410496003409;1071447;;DENT KEMPHOR NECESER ADULTO FRESH;3,090 €;4,95 €;21 %;5,99 €;1,86 €;60,2 %;37,6 %;5;1;VERKOS (KEMPHOR);ASEO PERSONAL;
Actualizado desde fichero o API;8410496003508;1004510;;DENT KEMPHOR NECESER JUNIOR (COLUTORIO+PASTA 25ML+CEPILLO DENTAL);2,727 €;4,95 €;21 %;5,99 €;2,22 €;81,5 %;44,9 %;0;154;COVALDROPER GRUPO;ASEO PERSONAL;
Actualizado desde fichero o API;8410496012500;1004513;;DENT KEMPHOR ORTODONCIA;2,586 €;3,30 €;21 %;3,99 €;0,71 €;27,6 %;21,6 %;0;577;VERKOS (KEMPHOR);ASEO PERSONAL;
Actualizado desde fichero o API;8410496001801;1004505;;DENT KEMPHOR VIAJE 4UD;1,956 €;3,30 €;21 %;3,99 €;1,34 €;68,7 %;40,7 %;2;12;VERKOS (KEMPHOR);ASEO PERSONAL;
Actualizado desde fichero o API;8410436216548;1036289;;DENT LIC POLO 2EN1 ALIEN FRES 75ML;1,005 €;1,64 €;21 %;1,99 €;0,64 €;63,2 %;38,7 %;-22;34;HENKEL IBERICA COSMETICA [ HENKEL IBERICA ];ASEO PERSONAL;
Actualizado desde fichero o API;8410020053733;1001188;;DENT LIC POLO 2EN1 BLANQUEADOR 75ML;1,012 €;1,64 €;21 %;1,99 €;0,63 €;62,1 %;38,3 %;-16;7;HENKEL IBERICA COSMETICA [ HENKEL IBERICA ];ASEO PERSONAL;
Actualizado desde fichero o API;8410020000119;1001189;;DENT LIC POLO 2EN1 JUNIOR 75ML;1,180 €;1,64 €;21 %;1,99 €;0,46 €;39,0 %;28,1 %;15;229;HENKEL IBERICA COSMETICA [ HENKEL IBERICA ];ASEO PERSONAL;
Actualizado desde fichero o API;8410020652417;1001190;;DENT LIC POLO 2EN1 VERDE MENTA FRESCA 75ML;1,007 €;1,64 €;21 %;1,99 €;0,63 €;62,9 %;38,6 %;-12;0;HENKEL IBERICA COSMETICA [ HENKEL IBERICA ];ASEO PERSONAL;
Actualizado desde fichero o API;8410020647888;1063019;;DENT LIC POLO 75ML BLANCO POLAR DUPLO;1,094 €;1,61 €;21 %;1,95 €;0,52 €;47,2 %;32,0 %;24;3;HENKEL IBERICA COSMETICA [ HENKEL IBERICA ];ASEO PERSONAL;
Actualizado desde fichero o API;8410436355384;1158227;;DENT LIC POLO 75ML CARBON ACTIVO DUPLO;1,094 €;1,61 €;21 %;1,95 €;0,52 €;47,2 %;32,0 %;-13;22;HENKEL IBERICA COSMETICA [ HENKEL IBERICA ];...;
Actualizado desde fichero o API;8410436160698;1030517;;DENT LIC POLO 75ML FLUOR PROTECT;0,648 €;0,83 €;21 %;1,00 €;0,18 €;28,1 %;21,9 %;-3;364;HENKEL IBERICA COSMETICA [ HENKEL IBERICA ];ASEO PERSONAL;
Actualizado desde fichero o API;8410020000157;1001249;;DENT LIC POLO ACCION3 75ML;0,564 €;0,83 €;21 %;1,00 €;0,27 €;47,2 %;32,0 %;-8;389;HENKEL IBERICA COSMETICA [ HENKEL IBERICA ];ASEO PERSONAL;
Actualizado desde fichero o API;8410020642869;;;DENT LIC POLO ACCION3 DUPLO 75ML;1,094 €;1,61 €;21 %;1,95 €;0,52 €;47,2 %;32,0 %;99;1;HENKEL IBERICA COSMETICA [ HENKEL IBERICA ];ASEO PERSONAL;
Actualizado desde fichero o API;8410020000133;1001245;;DENT LIC POLO BLANCO POLAR 75ML;0,861 €;1,20 €;21 %;1,45 €;0,34 €;39,4 %;28,3 %;4;248;HENKEL IBERICA COSMETICA [ HENKEL IBERICA ];ASEO PERSONAL;
Actualizado desde fichero o API;8410020647871;1063020;;DENT LIC POLO CLOROF 75ML DUPLO;1,094 €;1,61 €;21 %;1,95 €;0,52 €;47,2 %;32,0 %;15;25;HENKEL IBERICA COSMETICA [ HENKEL IBERICA ];ASEO PERSONAL;
Actualizado desde fichero o API;8410642103106;1001246;;DENT LIC POLO CLOROFILA 75ML;0,861 €;1,24 €;21 %;1,50 €;0,38 €;44,0 %;30,6 %;-13;5;HENKEL IBERICA COSMETICA [ HENKEL IBERICA ];ASEO PERSONAL;
Actualizado desde fichero o API;8410642112009;1001222;;DENT LIC POLO JUNIOR FRESA;1,049 €;1,86 €;21 %;1,99 €;0,81 €;77,3 %;43,6 %;-8;19;HENKEL IBERICA COSMETICA [ HENKEL IBERICA ];ASEO PERSONAL;
Actualizado desde fichero o API;8410436344906;1144013;;DENT LICOR DEL POLO 75ML BLANCO BAMBU DUPLO;0,983 €;1,61 €;21 %;1,95 €;0,63 €;63,8 %;38,9 %;0;-1;HENKEL IBERICA COSMETICA [ HENKEL IBERICA ];...;
Normal;8410020053764;;;DENT LICOR DEL POLO JUNIOR 2EN1 75ML;0,844 €;1,36 €;21 %;1,65 €;0,52 €;61,1 %;37,9 %;-9;33;DPH S. L .;;
Actualizado desde fichero o API;8410020652394;;;DENT LICOR POLO 2EN1 BLANQUEADOR 100ML;1,200 €;1,64 €;21 %;1,99 €;0,44 €;36,7 %;26,8 %;-7;7;COVALDROPER GRUPO;ASEO PERSONAL;
Actualizado desde fichero o API;8001841812045;1151766;;DENT ORALB  75ML PRO-EXPERT DIENTES FUERTES;1,865 €;2,85 €;21 %;3,45 €;0,98 €;52,8 %;34,6 %;-2;15;LOGISTA;ASEO PERSONAL;
Normal;5013965953354;;;DENT ORALB 100ML 123 MENTA;0,769 €;1,64 €;21 %;1,99 €;0,87 €;113,3 %;53,1 %;-8;243;CODELVI;ASEO PERSONAL;
Normal;8001841141374;;;DENT ORALB 100ML 123 PODER BLANQUEANTE;0,769 €;1,64 €;21 %;1,99 €;0,87 €;113,3 %;53,1 %;10;255;CODELVI;ASEO PERSONAL;
Actualizado desde fichero o API;4015600905385;1104744;;DENT ORALB 100ML 3DWHITE LUXE;1,510 €;2,44 €;21 %;2,95 €;0,93 €;61,6 %;38,1 %;-1;589;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;8001090407054;1114602;;DENT ORALB 100ML ENCIAS&ESMALTE REPAIR BLANQUEANTE;1,674 €;2,47 €;21 %;2,99 €;0,80 €;47,5 %;32,2 %;-3;42;DPH S. L .;ASEO PERSONAL;
Actualizado desde fichero o API;4015600385828;1036037;;DENT ORALB 100ML EXPERT SENS BLANQ;1,522 €;2,44 €;21 %;2,95 €;0,92 €;60,3 %;37,6 %;48;484;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;4015600385774;1036036;;DENT ORALB 100ML MULTIPROT;1,515 €;2,44 €;21 %;2,95 €;0,93 €;61,1 %;37,9 %;-1;440;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;8001090629166;;;DENT ORALB 75 ML 3DWHITE BLANC CUIDADO ESMALTE;1,790 €;2,44 €;21 %;2,95 €;0,65 €;36,3 %;26,6 %;-3;162;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;4015600753962;1041341;;DENT ORALB 75 ML 3DWHITE BLANC RADIANTE;1,292 €;2,44 €;21 %;2,95 €;1,15 €;88,8 %;47,0 %;-10;465;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;5410076960651;1036035;;DENT ORALB 75 ML COMPLETE ENJU BLANQ;1,254 €;2,47 €;21 %;2,99 €;1,22 €;97,0 %;49,2 %;-4;756;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;8001841489995;1140497;;DENT ORALB 75 ML ENCIAS SENSITIVE CALM ORIGINAL;2,625 €;3,30 €;21 %;3,99 €;0,68 €;25,7 %;20,4 %;-2;104;LOGISTA;...;
Actualizado desde fichero o API;5410076926497;1036036;;DENT ORALB 75 ML MULTIPROT BLANQ;2,014 €;2,44 €;21 %;2,95 €;0,43 €;21,1 %;17,5 %;128;392;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;3014260079130;1103133;;DENT ORALB 75 ML PROEXP DUPLO;3,622 €;4,12 €;21 %;4,99 €;0,50 €;13,8 %;12,1 %;72;735;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;5410076960507;1036037;;DENT ORALB 75 ML SENS BLANQ;2,014 €;2,44 €;21 %;2,95 €;0,43 €;21,1 %;17,5 %;119;145;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;8006540118986;1148626;;DENT ORALB 75ML 3DLUX PERFECCION;2,053 €;3,10 €;21 %;3,75 €;1,05 €;51,0 %;33,8 %;-8;430;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;8001090629203;;;DENT ORALB 75ML 3DWHITE BLANC SENSIBLES;2,116 €;3,10 €;21 %;3,75 €;0,98 €;46,5 %;31,7 %;-1;448;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;8006540118900;;;DENT ORALB 75ML 3DWHITE LUXE GLAMOROUS;2,053 €;3,10 €;21 %;3,75 €;1,05 €;51,0 %;33,8 %;-3;452;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;5410076961191;1103132;;DENT ORALB 75ML COMPLETE DUPLO 75ML ENJUAGUE+BLANQUEADOR;2,286 €;3,30 €;21 %;3,99 €;1,01 €;44,4 %;30,7 %;12;3;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;8001090364630;1114603;;DENT ORALB 75ML ENCIAS ESMALTE REPAIR ORIGINAL;2,217 €;3,10 €;21 %;3,75 €;0,88 €;39,8 %;28,5 %;25;15;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;8001090589361;1101852;;DENT ORALB 75ML JUNIOR FROZEN&CARS;1,332 €;2,06 €;21 %;2,49 €;0,73 €;54,6 %;35,3 %;-1;426;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;8001090589446;1119717;;DENT ORALB 75ML JUNIOR STAR WARS;1,332 €;2,06 €;21 %;2,49 €;0,73 €;54,6 %;35,3 %;-1;441;LOGISTA;ASEO PERSONAL;
Normal;8001841811925;1149580;;DENT ORALB 75ML PRO EXPERT BLANQUEANTE;1,865 €;2,85 €;21 %;3,45 €;0,98 €;52,8 %;34,6 %;-2;33;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;8001841811765;1149585;;DENT ORALB 75ML PROEXP DUPLO;2,624 €;4,12 €;21 %;4,99 €;1,50 €;57,0 %;36,3 %;-72;64;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;8001841811727;1149586;;DENT ORALB 75ML PROEXP DUPLO SENSITIVE Y BLANQUEANTE;3,354 €;4,12 €;21 %;4,99 €;0,77 €;22,8 %;18,6 %;24;280;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;5410076959990;;;DENT ORALB 75ML PROEXP ENCIAS;1,790 €;2,85 €;21 %;3,45 €;1,06 €;59,2 %;37,2 %;6;146;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;4084500230972;1058216;;DENT ORALB 75ML PROEXP LIMPIEZA PROFUNDA;1,615 €;2,85 €;21 %;3,45 €;1,24 €;76,5 %;43,3 %;-2;202;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;8001841811963;1036039;;DENT ORALB 75ML PROEXP MULTIPROTECCION;1,865 €;2,85 €;21 %;3,45 €;0,98 €;52,8 %;34,6 %;-73;6;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;8001841812007;1036037;;DENT ORALB 75ML PROEXP SENS BLANQ;1,865 €;2,85 €;21 %;3,45 €;0,98 €;52,8 %;34,6 %;-98;3;LOGISTA;ASEO PERSONAL;
Normal;8001841835570;;;DENT ORALB DUPLO 3DWHITE;2,624 €;4,12 €;21 %;4,99 €;1,50 €;57,0 %;36,3 %;0;117;DPH S. L .;;
Actualizado desde fichero o API;8001841811888;1156285;;DENT ORALB PRO EXPERT 75ML ALIENTO FRESCO;1,865 €;2,85 €;21 %;3,45 €;0,98 €;52,8 %;34,6 %;0;-1;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;8001841811840;1149579;;DENT ORALB PRO EXPERT 75ML LIMP PROFUNDA;1,865 €;3,02 €;21 %;3,65 €;1,16 €;61,9 %;38,3 %;0;-1;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;8411114058009;;;DENT PAW PATROL NIÑA 75ML;0,907 €;1,24 €;21 %;1,50 €;0,33 €;36,7 %;26,9 %;2;7;DPH S. L .;ASEO PERSONAL;
Actualizado desde fichero o API;8431890051971;1006775;;DENT POLIDENT 30 TABLETAS BLANQUEADOR;2,260 €;4,92 €;21 %;5,95 €;2,66 €;117,7 %;54,1 %;6;367;VERDIMILL;ASEO PERSONAL;
Actualizado desde fichero o API;8431890060768;1006776;;DENT POLIDENT CREMA FIJADOR 40GRS;3,007 €;4,92 €;21 %;5,95 €;1,91 €;63,6 %;38,9 %;-13;1;INTERDROPER S.L;ASEO PERSONAL;
Actualizado desde fichero o API;56013855045936;;;DENT POLIDENT CREMA FIJADORA 70ML;4,900 €;6,60 €;21 %;7,99 €;1,70 €;34,7 %;25,8 %;0;-1;COVALDROPER GRUPO;ASEO PERSONAL;
Actualizado desde fichero o API;5000198009552;1006765;...;DENT POLIDENT TABLETAS 30UD;2,751 €;4,92 €;21 %;5,95 €;2,17 €;78,8 %;44,1 %;3;11;INTERDROPER S.L;ASEO PERSONAL;
Actualizado desde fichero o API;8410240190867;1012244;;DENT PROFIDEN CLASICO 75ML;0,869 €;1,20 €;21 %;1,45 €;0,33 €;38,1 %;27,6 %;-16;1;HENKEL IBERICA COSMETICA [ HENKEL IBERICA ];ASEO PERSONAL;
Normal;8431890096071;;;DENT SENSODINE 75ML DUPLO REPAIR PROTECT;3,269 €;4,95 €;21 %;5,99 €;1,68 €;51,4 %;34,0 %;-14;3;DPH S. L .;ASEO PERSONAL;
Actualizado desde fichero o API;8431890083576;;;DENT SENSODYNE 100ML BLANQUEANTE;1,933 €;3,30 €;21 %;3,99 €;1,37 €;70,7 %;41,4 %;-1;392;DPH S. L .;ASEO PERSONAL;
Actualizado desde fichero o API;5601385503831;;;DENT SENSODYNE 100ML PROTECCION DIARIA;1,488 €;3,30 €;21 %;3,99 €;1,81 €;121,8 %;54,9 %;-1;409;DPH S. L .;ASEO PERSONAL;
Actualizado desde fichero o API;8470001672001;1040278;;DENT SENSODYNE 75ML ACCION COMPLETA;2,394 €;3,30 €;21 %;3,99 €;0,91 €;37,8 %;27,4 %;24;529;VERDIMILL;ASEO PERSONAL;
Actualizado desde fichero o API;5054563038913;1006767;;DENT SENSODYNE 75ML BLANQ;2,074 €;3,30 €;21 %;3,99 €;1,23 €;59,1 %;37,1 %;138;627;DPH S. L .;ASEO PERSONAL;
Actualizado desde fichero o API;5054563101846;;;DENT SENSODYNE 75ML BLANQUEANTE;1,858 €;3,30 €;21 %;3,99 €;1,44 €;77,6 %;43,7 %;-169;12;DPH S. L .;ASEO PERSONAL;
Normal;5054563101884;;;DENT SENSODYNE 75ML DUPLO BLANQUEANTE;3,067 €;4,95 €;21 %;5,99 €;1,88 €;61,4 %;38,0 %;-9;1;DPH S. L .;ASEO PERSONAL;
Normal;5054563101686;;;DENT SENSODYNE 75ML DUPLO PROT DIARIA;3,269 €;4,95 €;21 %;5,99 €;1,68 €;51,4 %;34,0 %;-10;0;DPH S. L .;ASEO PERSONAL;
